Type,Watts,Start Date,Ownership
HPS,100,2002-09-01,COE
HPS,70,1980-01-01,COE
HPS,100,1997-08-19,COE
HPS,70,2013-12-31,COE
HPS,150,2003-04-28,COE
HPS,100,1988-01-01,COE
HPS,150,2012-07-31,COE
HPS,100,2008-04-30,COE
HPS,100,1989-01-01,COE
LED,53,2013-09-01,COE
HPS,150,2012-03-01,COE
HPS,400,2011-01-25,COE
HPS,150,1991-02-28,COE
HPS,100,2002-09-01,COE
LED,250,2010-07-16,COE
HPS,400,2011-08-02,COE
HPS,70,1986-10-01,COE
HPS,38,2002-06-11,COE
HPS,100,2010-12-06,COE
HPS,70,1994-08-23,COE
HPS,250,2004-07-23,COE
LED,101,2016-04-12,COE
HPS,70,1983-03-07,COE
HPS,100,2003-09-01,COE
HPS,70,2002-09-01,COE
LED,49,2017-02-14,COE
HPS,150,2011-11-09,COE
LED,107,2016-04-12,COE
LED,107,2016-04-12,COE
HPS,70,2002-09-01,COE
HPS,100,1991-01-01,COE
LED,22,2011-11-29,COE
HPS,150,2008-09-20,COE
HPS,105,1999-12-01,COE
HPS,100,2008-05-09,COE
HPS,150,1993-11-05,COE
HPS,100,1993-01-01,COE
LED,34,2016-12-14,COE
HPS,60,1987-01-01,COE
HPS,100,1989-01-01,COE
LED,22,2017-01-11,COE
HPS,100,1989-01-01,COE
LED,43,2013-03-07,COE
HPS,250,2002-09-01,COE
HPS,150,1984-01-01,COE
HPS,150,1998-10-01,COE
LED,140,2015-04-01,COE
LED,140,2015-04-01,COE
HPS,100,2002-09-01,COE
HPS,250,2001-01-01,COE
HPS,100,2011-07-06,COE
LED,72,2013-06-12,COE
HPS,100,2008-08-08,COE
HPS,100,2010-11-01,COE
HPS,400,2005-02-23,COE
LED,40,2015-06-09,COE
HPS,250,1989-10-24,COE
HPS,60,2004-04-29,COE
HPS,150,1997-12-05,COE
LED,22,2013-06-12,COE
HPS,70,1989-11-16,COE
HPS,100,1992-01-01,COE
HPS,100,2002-09-01,COE
MH,175,2008-12-31,COE
HPS,150,2009-10-07,COE
HPS,150,2012-09-01,COE
HPS,400,2008-05-20,COE
HPS,150,1984-01-01,COE
LED,43,2016-10-01,COE
LED,91,2016-12-14,COE
LED,143,2014-10-10,COE
HPS,70,2002-09-01,COE
HPS,70,1985-01-01,COE
HPS,70,2002-09-01,COE
HPS,400,2002-09-01,COE
LED,22,2017-01-11,COE
HPS,70,2002-09-01,COE
HPS,100,1988-01-01,COE
HPS,100,1990-01-01,COE
